cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,poisonous
f,f,g,f,n,f,w,b,k,t,e,s,s,e,w,p,w,o,e,n,s,g,e
x,?,n,f,?,f,w,b,n,t,e,s,s,w,w,p,w,o,e,k,s,g,e
x,f,n,t,n,f,c,b,p,t,b,s,s,p,p,p,y,o,?,n,v,d,e
x,s,g,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,s,g,e
x,s,g,f,n,f,w,n,n,t,e,f,s,w,w,p,w,o,e,k,a,g,e
x,f,w,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,s,g,e
f,f,g,f,n,f,w,b,h,t,?,s,s,w,w,p,n,o,e,n,?,g,e
x,f,n,t,n,f,c,b,n,t,b,s,s,w,w,?,w,o,p,k,y,d,e
x,s,w,f,n,f,w,?,p,t,e,f,f,w,?,p,w,o,e,n,s,g,e
x,s,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,s,u,p
f,?,g,f,n,f,w,b,n,t,e,k,f,w,w,p,w,o,e,n,a,g,e
x,s,n,?,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,s,g,e
x,f,?,t,a,f,c,b,u,t,b,s,s,w,?,p,w,o,p,k,v,d,e
x,y,y,t,a,f,c,b,p,e,c,?,y,w,w,p,w,?,p,n,a,g,e
x,s,g,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,a,g,e
x,f,n,f,n,f,c,b,h,t,e,f,s,w,w,?,w,o,e,k,a,g,e
x,f,w,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,?,a,g,e
x,y,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,?,p,n,s,g,e
x,f,n,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,?,y,d,e
x,f,w,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,?,g,e
x,?,w,f,n,f,w,b,g,t,e,?,s,w,w,p,w,o,e,k,a,g,e
f,s,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,s,u,p
?,s,w,t,p,f,c,?,k,e,e,s,s,w,w,p,w,o,p,k,v,u,p
x,s,n,f,n,f,w,b,p,t,e,s,s,?,w,p,w,o,e,k,a,g,e
x,?,g,f,n,f,c,n,n,e,e,s,s,w,w,p,?,o,p,n,v,u,e
?,s,n,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,k,s,g,e
x,s,?,f,n,f,w,b,k,?,e,f,s,w,w,p,w,o,e,k,a,g,e
f,s,?,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,s,g,p
b,s,y,t,a,f,c,b,k,e,c,f,s,w,w,?,w,o,p,n,s,g,e
x,f,n,f,a,f,w,b,h,t,e,f,f,w,w,p,w,o,n,k,a,g,e
f,y,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,u,p
x,s,g,f,n,f,w,b,h,t,e,f,f,g,w,p,w,o,?,k,a,g,e
x,s,g,f,n,f,w,b,k,t,e,s,f,w,w,p,?,o,e,n,s,g,e
x,s,w,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,k,s,g,e
f,s,w,t,p,?,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,u,p
f,s,w,f,n,a,w,b,k,t,e,y,k,w,w,p,w,o,e,k,a,g,e
x,f,n,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,n,a,g,e
f,f,n,f,n,f,w,b,p,t,e,s,?,w,w,p,w,o,l,n,s,g,e
x,f,n,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,l,n,a,g,e
f,y,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,g,p
x,f,w,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,n,s,g,e
f,s,w,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,a,g,e
f,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u,p
f,s,?,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,?,?,a,g,e
f,g,n,t,n,f,c,b,w,t,b,s,s,w,y,p,w,o,p,h,v,d,e
x,f,?,f,n,f,w,b,h,t,e,s,f,?,w,p,w,o,e,n,a,g,e
x,f,g,t,n,?,c,b,u,t,b,s,s,w,p,p,w,o,p,k,v,d,e
x,y,n,t,n,f,c,b,p,t,e,s,s,?,w,p,w,o,p,?,v,d,e
f,f,g,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,n,y,d,e
f,y,e,t,n,f,c,b,p,t,b,s,s,p,p,p,w,?,p,k,v,d,e
f,?,g,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,n,s,g,e
?,f,g,t,s,f,c,b,u,t,b,s,s,p,p,p,w,o,p,?,?,d,e
x,y,g,t,?,f,c,b,p,t,b,s,s,g,p,p,w,o,p,k,y,d,e
x,f,g,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,s,g,e
f,s,n,t,?,f,c,n,n,?,e,s,s,?,w,p,w,o,p,n,s,?,p
f,s,n,t,?,f,c,b,n,t,b,s,s,?,g,p,w,o,p,k,v,d,e
x,s,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,g,p
?,s,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g,e
x,s,w,f,n,f,w,b,h,?,e,?,s,w,?,p,w,?,e,k,a,g,e
x,y,y,t,a,f,c,b,g,?,c,s,s,w,w,p,w,o,p,n,s,g,e
x,s,g,f,y,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,y,g,p
f,s,n,f,n,f,w,b,k,t,e,y,s,w,w,p,w,o,e,n,a,g,e
f,s,w,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,n,s,g,e
x,f,?,t,n,f,c,b,p,t,b,s,?,g,g,p,w,o,p,k,v,d,e
?,s,n,f,?,f,w,b,h,?,e,s,s,w,w,p,w,?,e,k,s,g,e
x,f,n,f,n,f,?,b,h,t,e,s,f,w,w,p,w,o,e,k,s,g,e
x,?,w,?,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,u,p
f,f,n,t,n,f,?,?,p,t,b,s,s,p,g,p,w,o,p,n,y,d,e
x,y,w,t,l,f,c,b,k,e,c,s,s,w,w,p,o,o,?,n,n,g,e
f,f,g,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,k,s,g,e
x,y,e,t,n,f,c,b,e,t,b,s,s,w,g,p,w,o,p,n,v,d,e
f,f,w,f,n,f,w,b,n,t,e,s,s,w,w,p,?,?,e,k,?,g,e
x,?,g,f,n,f,w,b,p,t,e,f,s,y,w,p,w,o,e,n,v,g,e
x,y,n,t,?,f,c,b,n,?,b,s,s,w,p,p,w,?,p,k,v,d,e
x,y,?,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,n,y,d,e
x,f,g,t,n,f,c,b,u,e,b,s,s,g,w,p,w,o,p,k,v,l,e
f,s,u,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,?,n,a,g,e
x,f,g,t,n,f,c,b,u,t,e,s,s,p,w,p,w,o,p,k,v,d,e
x,f,n,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,n,v,d,e
x,f,?,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,n,v,d,e
c,y,n,t,n,f,c,b,w,t,e,s,s,p,g,p,w,o,p,n,y,d,e
f,f,w,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,n,s,g,e
x,y,n,t,n,f,?,b,p,t,b,s,s,p,w,p,w,o,p,k,y,d,e
x,s,g,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,s,g,e
x,f,g,f,n,f,w,b,h,?,e,f,s,w,w,p,w,o,e,k,a,g,e
f,f,w,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,a,g,e
x,y,g,t,n,f,c,b,p,t,b,s,?,w,p,p,w,o,p,?,v,d,e
f,y,?,t,p,f,c,n,k,e,e,?,s,w,w,p,w,o,p,n,s,u,p
x,y,e,t,n,f,c,b,p,t,b,s,s,p,g,?,y,o,p,k,v,d,e
f,f,w,f,n,f,w,b,p,t,e,s,f,w,w,?,w,o,e,k,s,g,e
f,s,g,f,n,f,w,b,?,t,e,f,s,w,w,p,w,o,e,n,a,g,e
x,y,g,t,n,?,c,b,w,t,b,s,s,g,p,p,w,o,p,n,v,d,e
f,?,g,t,n,f,c,b,p,t,b,s,s,p,w,p,w,?,p,k,v,?,e
x,f,n,t,n,f,c,b,w,t,b,?,y,g,?,p,w,o,p,k,v,d,e
f,?,e,t,n,f,c,b,n,t,b,s,s,w,p,p,w,?,p,k,v,d,e
x,s,w,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,n,a,g,e
x,?,e,t,n,f,c,b,w,t,b,s,s,w,g,p,w,?,p,n,v,d,e
x,f,n,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,k,v,d,e
x,f,g,t,n,f,c,b,u,t,b,?,s,w,w,p,w,o,p,k,y,?,e
x,f,n,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,?,n,y,d,e
x,f,y,t,a,f,w,n,w,t,b,s,?,w,o,p,w,o,p,n,v,d,e
x,f,e,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,n,v,d,e
f,s,w,t,p,f,c,n,w,e,e,s,s,?,w,p,w,o,p,n,v,g,p
x,?,w,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,s,g,e
x,f,e,t,?,f,c,b,u,t,b,s,s,g,g,p,w,o,p,n,c,d,e
x,y,n,t,n,f,?,b,w,t,b,?,s,p,p,p,w,o,p,k,v,d,e
x,f,w,t,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,k,a,?,e
x,f,g,f,n,f,c,b,w,t,b,s,?,p,g,p,w,o,p,n,y,p,e
x,s,?,f,n,f,w,b,n,t,?,s,s,w,w,p,w,o,e,n,s,g,e
x,y,e,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,n,y,?,e
x,y,n,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,n,s,d,e
x,s,w,f,n,f,w,b,p,t,e,?,s,w,w,p,w,o,e,k,n,g,e
x,s,n,f,n,f,w,b,?,t,e,s,f,w,w,p,w,o,e,k,a,g,e
x,s,?,f,n,f,w,b,n,t,e,s,s,w,w,p,w,?,e,k,s,g,e
x,s,?,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,n,s,g,e
?,f,?,t,s,f,c,?,g,t,b,?,s,p,g,p,w,o,p,n,y,?,e
f,f,c,f,n,f,w,b,n,t,e,s,f,w,w,p,n,o,e,k,a,g,e
f,f,g,f,n,f,w,b,k,t,r,s,s,w,w,p,w,o,e,k,a,g,e
x,y,e,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,n,v,d,e
x,f,e,t,n,a,c,b,p,t,b,s,s,p,?,p,w,o,p,n,y,d,e
x,y,g,t,?,f,c,b,u,t,b,s,s,?,w,p,w,o,p,n,v,d,e
?,f,?,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,k,y,d,e
f,?,n,f,n,f,w,b,o,t,e,s,s,w,w,p,w,o,e,n,s,g,e
x,s,w,f,n,f,w,b,e,t,e,s,s,w,w,p,w,o,e,k,a,g,e
x,s,w,?,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,k,a,g,e
x,f,w,f,n,a,w,b,k,?,e,s,s,w,w,p,w,?,e,n,a,g,e
x,f,?,t,n,f,c,b,u,t,?,s,s,g,p,p,w,o,p,n,v,d,e
x,f,n,t,n,f,c,b,u,t,b,s,s,g,g,?,w,o,p,n,y,d,e
f,f,n,t,n,f,c,b,w,t,b,s,s,g,p,p,?,o,p,k,v,d,e
f,f,w,t,l,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d,e
f,y,w,f,n,f,c,b,k,t,e,f,f,w,w,p,w,o,e,k,a,g,e
f,y,w,t,p,f,c,n,n,e,?,s,s,w,w,p,w,o,p,k,s,g,p
f,f,g,t,n,f,c,b,n,?,b,s,s,g,g,p,?,o,p,k,v,?,e
x,f,n,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,n,v,d,e
x,s,e,f,?,f,w,b,k,?,e,f,f,w,w,p,w,o,e,n,a,g,e
x,f,?,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,n,a,?,e
x,s,n,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,a,g,e
b,f,n,f,n,f,w,b,?,?,e,s,s,w,w,p,w,o,e,n,a,g,e
x,s,g,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,a,g,e
x,y,n,t,?,f,c,b,w,t,?,s,s,g,g,p,w,o,p,n,v,d,e
?,f,n,t,n,f,?,b,u,t,?,s,s,p,p,p,w,o,p,n,y,d,e
f,s,g,f,n,f,w,b,k,?,e,f,f,w,w,p,w,o,e,n,s,g,e
f,s,n,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,k,a,g,e
x,s,g,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,s,g,e
f,y,g,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,y,d,e
c,s,w,f,n,f,w,?,h,t,e,f,f,w,w,p,w,o,e,n,a,g,e
f,f,n,?,?,f,w,b,k,t,e,s,?,w,w,p,w,o,e,n,a,g,e
f,s,w,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,k,n,g,e
x,f,g,f,n,f,w,b,?,t,e,s,s,?,w,p,w,o,e,n,s,g,e
f,f,n,f,n,f,w,b,k,t,e,s,s,w,?,p,w,o,e,n,a,?,e
f,y,n,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,k,a,g,e
x,f,n,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,n,?,d,e
f,s,g,f,n,f,w,b,?,t,e,s,f,w,w,p,w,o,e,k,a,g,e
f,s,w,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,n,s,p,e
b,y,e,?,n,f,c,b,p,t,b,s,s,g,n,p,w,o,p,k,v,d,e
x,y,g,t,n,f,c,b,u,?,b,s,s,g,g,p,w,o,p,k,v,d,e
x,y,e,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,k,v,d,e
x,f,g,f,n,f,w,b,?,t,e,s,y,w,w,p,w,o,e,k,s,g,e
f,f,g,f,n,f,w,b,p,t,e,f,s,w,y,p,?,o,e,n,c,g,e
f,y,y,t,l,f,c,b,p,?,r,s,y,w,w,p,w,o,p,n,y,g,e
f,y,w,t,p,f,c,n,w,e,?,s,s,w,w,p,w,?,p,k,v,u,p
f,s,n,f,n,f,w,b,h,t,e,f,?,w,w,p,w,o,e,k,a,g,e
?,f,n,f,?,f,w,b,k,t,e,s,f,w,w,p,w,o,l,k,s,g,e
f,f,n,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,k,v,d,e
x,f,e,t,n,f,c,b,?,t,b,s,s,g,p,p,w,o,p,k,y,d,e
f,f,g,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,?,a,g,e
x,f,n,f,n,f,w,b,n,t,e,f,s,w,w,?,w,o,e,k,s,g,e
x,f,g,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,n,s,g,e
x,y,e,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,n,v,d,e
f,f,n,t,n,f,c,n,w,t,b,s,s,g,w,p,w,o,p,k,v,d,e
x,f,n,f,n,f,w,?,p,t,e,s,f,w,w,p,w,o,e,k,s,g,e
x,f,n,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,k,a,g,e
x,s,w,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,?,s,g,e
f,s,w,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,s,g,e
f,y,c,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,?,s,u,p
b,s,w,t,a,f,?,b,k,e,c,s,s,w,e,p,w,o,p,n,?,g,e
x,f,n,t,n,f,c,b,w,t,b,f,s,?,w,p,w,o,p,n,v,d,e
f,f,g,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,k,a,g,e
x,f,n,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,s,g,e
x,s,n,f,n,f,w,b,r,t,e,s,?,w,w,p,w,o,e,n,s,g,e
f,s,w,t,l,f,w,n,n,t,e,s,s,w,w,p,w,o,p,u,v,d,e
x,f,b,f,n,f,c,b,h,e,e,s,s,w,w,p,w,o,e,n,a,?,e
x,s,w,f,l,f,w,b,h,t,e,f,s,w,w,p,w,o,e,k,a,g,e
x,s,g,f,n,f,w,b,k,t,e,f,s,w,w,p,w,?,e,k,s,g,e
x,y,e,t,n,f,c,b,y,t,b,f,s,w,p,p,w,o,p,k,v,d,e
f,f,n,t,n,f,c,b,u,?,b,s,s,g,p,p,w,o,p,k,v,d,e
x,f,n,t,n,f,c,b,n,t,b,s,s,w,w,?,w,o,p,k,v,?,e
f,f,?,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,n,k,s,g,e
f,s,n,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,n,s,g,e
f,s,w,t,p,f,c,n,?,e,e,s,s,w,w,p,w,o,p,n,v,u,p
f,f,n,f,n,f,w,b,p,t,?,?,f,w,w,p,w,o,e,n,s,g,e
x,y,g,t,n,f,c,b,w,t,c,s,s,g,g,p,w,n,p,n,y,d,e
k,y,g,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,n,v,d,e
x,f,g,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,a,?,e
x,f,?,t,?,f,c,b,w,t,b,s,s,?,p,p,w,o,p,n,v,d,e
c,y,e,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,n,v,d,e
x,f,g,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,k,y,d,e
?,f,g,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,n,v,d,e
x,f,n,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,k,?,d,e
x,s,w,t,p,f,?,n,p,e,e,s,s,w,?,p,w,o,p,?,v,g,p
x,f,n,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,s,g,e
x,y,n,t,n,f,c,b,w,t,b,?,s,e,p,p,w,o,p,n,v,d,e
x,f,g,t,n,f,c,b,p,t,b,s,s,w,g,?,w,o,p,n,y,d,e
f,y,n,t,p,f,c,n,?,e,e,f,s,w,w,p,w,o,p,n,s,g,p
x,f,g,t,n,f,c,b,u,t,b,s,s,w,g,p,w,?,p,k,y,d,e
x,f,g,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,?,s,g,e
x,f,e,t,n,f,c,b,u,t,b,?,s,g,g,p,w,o,p,k,v,d,e
f,f,n,f,n,f,c,b,k,t,e,f,f,w,w,p,w,?,e,n,s,g,e
f,s,w,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,n,a,g,e
f,s,n,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,s,g,e
x,y,e,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,n,v,?,e
f,s,n,f,n,f,w,b,k,t,b,f,f,w,w,p,w,o,e,?,s,g,e
f,f,n,t,n,f,c,b,n,t,b,s,?,p,p,p,w,o,p,n,v,d,e
f,s,w,f,n,f,w,b,?,t,e,s,s,w,w,p,w,o,e,k,s,g,e
x,g,n,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,?,g,e
f,f,n,f,n,?,w,b,o,t,e,s,f,w,w,p,?,o,e,n,s,g,e
x,f,n,t,p,f,?,n,w,e,e,s,s,w,w,p,w,o,p,k,v,u,p
x,?,n,?,n,f,?,b,p,t,b,s,?,w,w,p,w,o,p,k,y,d,e
?,s,n,f,n,f,w,?,k,t,e,f,s,w,w,p,w,?,e,n,s,g,e
f,y,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,s,g,p
x,f,?,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,n,v,d,e
x,y,g,t,n,f,c,b,u,t,?,s,?,w,p,?,w,o,p,n,y,d,e
f,f,n,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,n,a,g,e
x,f,e,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,k,v,d,e
f,f,w,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,s,g,e
x,f,w,f,n,f,w,b,h,?,e,f,f,w,w,p,n,?,e,k,s,g,e
x,y,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,m,e
x,s,w,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,s,g,e
x,y,g,t,n,f,c,b,?,t,b,s,s,p,g,p,w,o,p,n,v,d,e
x,f,g,t,n,?,c,b,n,?,b,s,s,g,w,p,w,o,p,k,y,d,e
x,s,g,?,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,n,s,g,e
f,y,w,t,p,f,c,?,n,e,e,s,s,w,w,p,w,o,p,n,s,u,p
x,f,e,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,n,v,d,e
f,s,n,t,p,f,c,n,n,e,e,?,s,n,w,p,w,o,p,k,s,u,p
f,y,n,t,p,f,c,n,w,e,e,s,s,?,w,p,w,o,p,n,v,w,p
x,f,g,t,n,f,c,b,p,t,b,s,?,?,p,p,w,o,p,n,v,d,e
f,s,n,?,n,f,w,b,h,t,e,s,y,w,w,p,w,o,e,n,a,g,e
x,f,g,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,n,?,d,e
x,f,n,f,n,f,w,b,w,t,e,s,f,w,w,p,w,o,e,k,a,g,e
x,f,n,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,n,y,d,e
f,s,n,f,n,f,w,b,k,t,e,f,s,?,w,p,w,o,e,n,s,g,e
f,f,n,f,n,f,w,b,p,t,e,s,f,w,w,p,n,o,e,k,a,g,e
x,s,n,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,a,g,e
x,s,n,f,n,f,w,b,k,t,e,s,f,w,w,p,w,?,e,k,s,g,e
x,f,n,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,n,v,d,e
x,f,e,f,n,f,c,b,u,t,b,s,s,g,w,p,?,o,p,n,v,d,e
f,s,n,f,n,f,w,b,k,t,e,f,f,w,w,p,?,o,e,k,a,g,e
x,f,n,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,k,y,d,e
f,y,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,?,p
x,y,y,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,s,g,e
f,s,n,t,p,f,?,n,p,e,e,s,s,w,w,p,w,o,p,k,s,g,p
f,f,w,f,n,f,w,?,h,t,e,f,s,w,w,p,w,o,p,n,s,g,e
f,f,u,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,k,a,g,e
f,s,n,t,p,a,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,g,p
x,s,n,f,n,f,w,b,k,?,?,f,f,w,w,p,w,o,e,n,a,g,e
x,f,n,f,?,f,w,b,n,t,?,s,f,w,w,p,w,o,e,k,s,g,e
x,f,e,t,n,f,c,?,u,t,c,s,s,g,w,p,w,o,p,k,v,d,e
f,f,n,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,?,a,g,e
x,f,w,f,n,?,w,b,k,t,e,s,s,w,w,p,w,o,e,n,s,g,e
f,s,?,f,n,f,w,b,p,?,e,f,s,w,w,p,w,o,e,n,a,g,e
f,?,w,f,n,f,?,b,h,t,e,f,s,w,n,p,w,o,e,k,s,g,e
f,s,?,t,a,f,w,n,o,t,b,s,s,w,w,p,w,o,p,n,v,d,e
f,f,?,t,a,f,w,n,n,t,b,s,s,?,w,p,?,o,p,y,v,d,e
f,?,n,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,n,a,g,e
x,f,n,t,n,?,c,b,u,t,b,?,s,w,w,p,w,o,p,n,y,?,e
x,y,g,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,k,y,d,e
x,f,n,t,n,f,c,n,u,t,b,s,?,w,g,p,w,o,p,n,y,u,e
x,f,n,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,k,s,w,e
x,f,g,?,n,f,c,?,u,t,b,s,?,w,w,p,w,o,p,n,y,d,e
x,f,n,t,n,f,c,b,n,?,b,s,s,p,p,p,w,o,p,o,v,d,e
x,f,g,f,n,f,w,b,p,t,?,?,s,w,w,p,?,n,e,k,a,g,e
x,f,n,t,n,?,c,b,b,t,b,s,s,w,p,p,w,o,p,n,v,d,e
x,s,n,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,a,g,e
b,y,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m,e
f,?,e,t,n,?,c,b,u,t,b,s,s,w,?,p,w,o,p,k,v,d,e
f,s,n,f,n,f,w,b,h,t,e,k,f,w,w,?,w,o,e,n,s,g,e
x,f,e,t,n,f,c,b,w,t,b,s,s,p,p,?,w,?,p,k,y,d,e
f,y,n,t,n,?,c,b,p,t,b,s,s,g,g,p,w,?,p,k,y,d,e
x,y,g,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,k,v,?,e
x,s,g,f,n,f,c,b,p,?,e,s,s,y,w,p,w,o,e,n,a,g,e
x,s,n,f,n,f,w,b,?,?,e,f,s,w,?,?,?,o,e,k,s,g,e
f,f,g,f,n,f,w,n,p,t,e,f,f,w,w,p,w,o,e,n,a,g,e
x,s,g,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,k,?,g,e
x,y,e,t,n,f,?,b,?,t,b,s,s,w,p,p,w,o,p,k,y,d,e
f,f,g,t,n,f,c,b,w,t,b,s,s,p,b,p,w,o,p,n,y,d,e
f,f,n,t,n,f,?,b,n,t,b,s,s,p,w,p,w,o,p,k,y,d,e
x,f,n,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,n,s,g,e
f,s,n,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,?,n,s,g,e
x,f,w,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,k,s,g,e
x,y,y,t,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,s,p,e
x,f,?,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,n,v,d,e
x,f,n,f,n,f,w,b,h,t,e,f,s,w,w,p,?,o,e,k,s,g,e
x,y,n,t,n,f,c,b,p,t,b,s,?,w,g,p,?,o,p,k,v,?,e
f,f,g,t,n,f,c,b,n,t,b,s,s,w,p,p,?,o,p,?,y,d,e
x,?,w,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,a,g,e
b,y,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m,e
x,s,n,f,n,f,w,b,p,t,e,s,s,w,w,p,n,o,?,n,?,g,e
f,s,w,f,n,f,w,b,p,?,e,s,s,w,w,p,w,o,e,n,a,g,e
f,f,n,t,n,f,c,b,u,t,b,s,s,?,w,p,w,o,p,?,s,d,e
f,f,w,f,n,f,w,b,k,t,e,f,f,w,y,p,w,o,e,k,s,g,e
x,f,g,t,n,f,w,b,u,t,b,s,s,g,p,p,w,o,p,?,v,d,e
